Code	EconomicType	FgTitle	StateTitle	LgTitle	ACCOUNT TYPE	LEVEL	TYPE
12020105	Revenue	RADIO STATION LICENCES	RADIO/TELEVISION STATION LICENCES	RADIO/TELEVISION STATION LICENCES	REVENUE	5	DETAIL
12020106	Revenue	ARMS & AMMUNITION LICENCES	N/A	N/A	REVENUE	5	DETAIL
12020107	Revenue	BOATS & CANOE (SMALL CRAFT ) LICENCE	BOATS & CANOE (SMALL CRAFT ) LICENCE	BOATS & CANOE (SMALL CRAFT ) LICENCE	REVENUE	5	DETAIL
12020108	Revenue			REVENUE	5	DETAIL
12020109	Revenue	REGISTATION OF VOLUNTARY ORGANIZATIONS	REGISTATION OF VOLUNTARY ORGANIZATIONS	REGISTATION OF VOLUNTARY ORGANIZATIONS	REVENUE	5	DETAIL
12020110	Revenue	INLAND WATER-WAY LICENCE	INLAND WATER-WAY LICENCE	INLAND WATER-WAY LICENCE	REVENUE	5	DETAIL
12020111	Revenue	FCT ABUJA- BAKE HOUSE LICENCE	BAKE HOUSE LICENCE	BAKE HOUSE LICENCE	REVENUE	5	DETAIL
12020112	Revenue	FCT ABUJA- BICYCLES LICENCE & HIRE PERMITS	N/A	BICYCLES LICENCE & HIRE PERMITS	REVENUE	5	DETAIL
12020113	Revenue	FCT ABUJA - BRICKMAKING, ETC LICENCE	BRICKMAKING, ETC LICENCE	BRICKMAKING, ETC LICENCE	REVENUE	5	DETAIL
12020114	Revenue	FCT ABUJA -CART LICENCES	CART LICENCES	CART LICENCES	REVENUE	5	DETAIL
12020115	Revenue	FCT ABUJA - DANE GUN LICENCES	DANE GUN LICENCES	DANE GUN LICENCES	REVENUE	5	DETAIL
12020116	Revenue	FCT ABUJA - CATTLE DEALER LICENCES	CATTLE DEALER LICENCES	CATTLE DEALER LICENCES	REVENUE	5	DETAIL
12020117	Revenue	FCT ABUJA - DRIED FISH & MEAT LICENCES	DRIED FISH & MEAT LICENCES	DRIED FISH & MEAT LICENCES	REVENUE	5	DETAIL
12020118	Revenue	FCT ABUJA - DOG LICENCES	PET (DOG) LICENCES	PET (DOG) LICENCES	REVENUE	5	DETAIL
12020119	Revenue	FCT ABUJA - FISHING PERMITS	FISHING PERMITS	FISHING PERMITS	REVENUE	5	DETAIL
12020120	Revenue	FCT ABUJA - HAWKER'S PERMITS	HAWKER'S PERMITS	HAWKER'S PERMITS	REVENUE	5	DETAIL
12020121	Revenue	FCT ABUJA - HUNTING PERMITS	HUNTING PERMITS	HUNTING PERMITS	REVENUE	5	DETAIL
12020122	Revenue	FCT ABUJA - PRODUCE BUYING LICENCES	PRODUCE BUYING LICENCES	PRODUCE BUYING LICENCES	REVENUE	5	DETAIL
12020123	Revenue	FCT ABUJA - ANIMAL HEALTH CERTIFICATE LICENCES	N/A	ANIMAL HEALTH CERTIFICATE LICENCES	REVENUE	5	DETAIL
12020124	Revenue	FCT ABUJA - ABUJA ABBATTOIR/SLAUGHTER LICENCES	N/A	ABBATTOIR/SLAUGHTER LICENCES	REVENUE	5	DETAIL
12020125	Revenue	FCT ABUJA - RENEWAL OF FISHER LICENCES	N/A	RENEWAL OF FISHER LICENCES	REVENUE	5	DETAIL
12020126	Revenue	FCT ABUJA - TRACTOR HIRING SERVICES	TRACTOR HIRING SERVICES	HIRING SERVICES	REVENUE	5	DETAIL
12020127	Revenue	N/A	N/A	N/A			
12020128	Revenue	N/A	BOREHOLE DRILLING LICENCES	BOREHOLE DRILLING LICENCES	REVENUE	5	DETAIL
12020129	Revenue	N/A	POOL BETTING & CASINO LICENCES/GAMING	N/A	REVENUE	5	DETAIL
12020130	Revenue	N/A	CINEMATOGRAPH LICENCES	CINEMATOGRAPH LICENCES	REVENUE	5	DETAIL
12020131	Revenue	N/A	N/A	LIQUOR LICENCES	REVENUE	5	DETAIL
12020132	Revenue	N/A	MOTOR VEHICLE LICENCES	N/A	REVENUE	5	DETAIL
12020133	Revenue	N/A	DRIVERS' LICENCES	N/A	REVENUE	5	DETAIL
12020134	Revenue	N/A	PATENT MEDICINE & DRUG STORES LICENCES	N/A	REVENUE	5	DETAIL
12020135	Revenue	N/A	PRIVATE SCHOOLS LICENCES	N/A	REVENUE	5	DETAIL
12020136	Revenue	N/A	HEALTH FACILITIES LICENCES	N/A	REVENUE	5	DETAIL
12020137	Revenue	N/A	TRADE PERMIT LICENCES	TRADE PERMIT LICENCES	REVENUE	5	DETAIL
12020138	Revenue	N/A	FORESTRY/TIMBER LICENCE	FORESTRY/TIMBER LICENCE			
12020139	Revenue	SHIP REGISTRATION	N/A	N/A			
12020140	Revenue	LOTTERY PERMIT	LOTTERY PERMIT	LOTTERY PERMIT			
120202	Revenue	MINING RENTS	MINING RENTS	MINING RENTS	REVENUE	4	GENERAL
12020201	Revenue	MINING FEES	N/A	N/A	REVENUE	5	DETAIL
12020202	Revenue	PENALTIES FOR ARREARS OF RENT	N/A	N/A	REVENUE	5	DETAIL
12020203	Revenue	PROSPECTING RIGHTS FEES	N/A	N/A	REVENUE	5	DETAIL
12020204	Revenue	FEES FOR QUARRYING LEASES & QUARRYING LICENCES	N/A	N/A	REVENUE	5	DETAIL
12020205	Revenue	RENT ON EXCLUSIVE PROSPECTING LICENCES	N/A	N/A	REVENUE	5	DETAIL
12020206	Revenue	RENT ON MINING RIGHTS	N/A	N/A	REVENUE	5	DETAIL
12020207	Revenue	RENT ON MINING LEASE	N/A	N/A	REVENUE	5	DETAIL
12020208	Revenue	RENT ON QUARRYING LEASE	N/A	N/A	REVENUE	5	DETAIL
12020209	Revenue	PREMIUM ON MINERALS LICENCES	N/A	N/A	REVENUE	5	DETAIL
12020210	Revenue	APPLICATION PROCESSING FEE	N/A	N/A			
12020211	Revenue	ANNUAL SERVICE FEE	N/A	N/A			
12020212	Revenue	PROCESSING OF APPLICATION FOR RENEWAL	N/A	N/A			
12020213	Revenue	PENALTY FOR LATE RENEWAL OF APPLICATION	N/A	N/A			
12020214	Revenue	APPLICATION FOR ENLARGEMENT (PROCESSING)	N/A	N/A			
12020215	Revenue	APPLICATION FOR RELINQUISHMENT	N/A	N/A			
12020216	Revenue	APPLICATION FOR TRANSFER/ASSIGNMENT	N/A	N/A			
12020217	Revenue	MINERAL TITLE TRANSFER/ASSIGNMENT	N/A	N/A			
12020218	Revenue	APPLICATION FOR SURRENDERED	N/A	N/A			
12020219	Revenue	APPLICATION FOR CONSOLIDATION	N/A	N/A			
12020220	Revenue	APPLICATION TO ENDORSE ADDITIONAL MINERAL	N/A	N/A			
12020221	Revenue	APPLICATION FOR CERTIFIED TRUE COPY OF LOST CERTIFICATE	N/A	N/A			
12020222	Revenue	SEARCH/DUE DILIGENCE	N/A	N/A			
12020223	Revenue	APPLICATION FOR CERTIFIED TRUE COPY OF LOST DOCUMENTS OTHER THAN MINERAL TITLED DOCUMENTS	N/A	N/A			
12020224	Revenue	CADASTRAL MAP INFORMATION	N/A	N/A			
120203	Revenue	ROYALTIES	ROYALTIES	ROYALTIES	REVENUE	4	GENERAL
12020301	Revenue	ROYALTY ON QUARRIES	N/A	N/A	REVENUE	5	DETAIL
12020302	Revenue	ROYALTY ON TIN	N/A	N/A	REVENUE	5	DETAIL
12020303	Revenue	ROYALTY ON GOLD	N/A	N/A	REVENUE	5	DETAIL
12020304	Revenue	ROYALTY ON COLUMBITE	N/A	N/A	REVENUE	5	DETAIL
12020305	Revenue	ROYALTY ON BARYTES	N/A	N/A	REVENUE	5	DETAIL
12020306	Revenue	ROYALTY ON WOLFRAM	N/A	N/A	REVENUE	5	DETAIL
12020307	Revenue	ROYALTY ON ZINC ORE	N/A	N/A	REVENUE	5	DETAIL
12020308	Revenue	ROYALTY ON TANTALITE	N/A	N/A	REVENUE	5	DETAIL
12020309	Revenue	ROYALTY ON GYPSUM	N/A	N/A	REVENUE	5	DETAIL
12020310	Revenue	ROYALTY ON IRON ORE	N/A	N/A	REVENUE	5	DETAIL
12020311	Revenue	ROYALTY ON MARBLE	N/A	N/A	REVENUE	5	DETAIL
12020312	Revenue	ROYALTY ON LIMESTONE	N/A	N/A	REVENUE	5	DETAIL
12020313	Revenue	ROYALTY ON GEMSTONE	N/A	N/A	REVENUE	5	DETAIL
12020314	Revenue	ROYALTY ON GMELINA	N/A	N/A			
120204	Revenue	FEES - GENERAL	FEES - GENERAL	FEES - GENERAL	REVENUE	4	GENERAL
12020401	Revenue	SUPREME/INDUSTRIAL COURT FEES	COURT FEES	N/A	REVENUE	5	DETAIL
12020402	Revenue	TRADE MARKS FEES	N/A	N/A	REVENUE	5	DETAIL
12020403	Revenue	COMPANY & BUSINESS NAMES FEES	N/A	N/A	REVENUE	5	DETAIL
12020404	Revenue	TRADE UNION FEES	TRADE UNION FEES	TRADE UNION FEES	REVENUE	5	DETAIL
12020405	Revenue	PASSPORT FEES	N/A	N/A	REVENUE	5	DETAIL
12020406	Revenue	VISA & ALIENS REGISTRATION FEES	N/A	N/A	REVENUE	5	DETAIL
12020407	Revenue	TRAVEL CERTIFICATE FEES	N/A	N/A	REVENUE	5	DETAIL
12020408	Revenue	POLICE ESCORT & SPECIAL DUTIES FEES	N/A	N/A	REVENUE	5	DETAIL
12020409	Revenue	WEIGHTS & MEASURE FEES	WEIGHTS & MEASURE FEES	N/A	REVENUE	5	DETAIL
12020410	Revenue	ELECTRICAL INSPECTORATE FEES	ELECTRICAL INSPECTORATE FEES	N/A	REVENUE	5	DETAIL
12020411	Revenue	INSURANCE COMPANIES FEES	N/A	N/A	REVENUE	5	DETAIL
12020412	Revenue	RESEARCH TESTING FEES	RESEARCH TESTING FEES	N/A	REVENUE	5	DETAIL
12020413	Revenue	FEDERAL FILMS CENSORSHIP BOARD FEES	FILMS CENSORSHIP/ PRODUCTION FEES	N/A	REVENUE	5	DETAIL
12020414	Revenue	BARRISTER PRACTICING FEES	N/A	N/A	REVENUE	5	DETAIL
12020415	Revenue	TRADE TESTING FEES	TRADE TESTING FEES	N/A	REVENUE	5	DETAIL
12020416	Revenue	METEOROLOGICAL SERVICES FEES	N/A	N/A	REVENUE	5	DETAIL
12020417	Revenue	CONTRACTOR REGISTRATION FEES	CONTRACTOR REGISTRATION FEES	CONTRACTOR REGISTRATION FEES	REVENUE	5	DETAIL
12020418	Revenue	MARRIAGE FEES	MARRIAGE/ DIVORCE FEES	MARRIAGE/ DIVORCE FEES	REVENUE	5	DETAIL
12020419	Revenue	ATTESTATION OF BACHELORHOOD & SPINSTERHOOD FEES	ATTESTATION OF BACHELORHOOD & SPINSTERHOOD FEES	ATTESTATION OF BACHELORHOOD & SPINSTERHOOD FEES	REVENUE	5	DETAIL
12020420	Revenue	PILGRIMS WELFARE FEES	PILGRIMS WELFARE FEES	N/A	REVENUE	5	DETAIL
12020421	Revenue	C.I.D CLEARANCE CERTIFICATE FEES	N/A	N/A	REVENUE	5	DETAIL
12020422	Revenue	PIONEER CERTICATE FEES	N/A	N/A	REVENUE	5	DETAIL
12020423	Revenue	PATENT & DESIGNS FEES	N/A	N/A	REVENUE	5	DETAIL
12020424	Revenue	ACCREDITATION FEES	ACCREDITATION FEES	N/A	REVENUE	5	DETAIL
12020425	Revenue	DISINFECTION OF PRODUCE FEES	DISINFECTION OF PRODUCE FEES	DISINFECTION OF PRODUCE FEES	REVENUE	5	DETAIL
12020426	Revenue	COURT SUMMONS/OATH FEES	COURT SUMMONS/OATH FEES	COURT SUMMONS/OATH FEES	REVENUE	5	DETAIL
12020427	Revenue	TENDER  FEES	TENDER  FEES	TENDER  FEES	REVENUE	5	DETAIL
12020428	Revenue	FIRE SAFETY CERTIFICATE FEES	FIRE SAFETY CERTIFICATE FEES	N/A	REVENUE	5	DETAIL
12020429	Revenue	BUSINESS EXPATRIATE QUOTA / RENEWAL FEES	N/A	N/A	REVENUE	5	DETAIL
12020430	Revenue	PROFESSIONAL REGISTRATION FEES	PROFESSIONAL REGISTRATION FEES	N/A	REVENUE	5	DETAIL
12020431	Revenue	ENVIRONMENTAL IMPACT ASSESSMENT FEES	ENVIRONMENTAL IMPACT ASSESSMENT FEES	N/A	REVENUE	5	DETAIL
12020432	Revenue	PRIVATE GARDS CERTIFICATE FEES	N/A	N/A	REVENUE	5	DETAIL
12020433	Revenue	INTERNATIONAL DRIVING PERMIT FEES	N/A	N/A	REVENUE	5	DETAIL
12020434	Revenue	INTERNATIONAL VEHICLE CERTIFICATE FEES	N/A	N/A	REVENUE	5	DETAIL
12020435	Revenue	POLICE INFORMATION FEES	N/A	N/A	REVENUE	5	DETAIL
12020436	Revenue	BILL BOARD ADVERTISEMENT FEES	BILL BOARD ADVERTISEMENT FEES	BILL BOARD ADVERTISEMENT FEES	REVENUE	5	DETAIL
12020437	Revenue	DEEDS REGISTRATION FEES	DEEDS REGISTRATION FEES	N/A	REVENUE	5	DETAIL
12020438	Revenue	SURVEY FEES	SURVEY/ PLANNING/ BUILDING FEES	N/A	REVENUE	5	DETAIL
12020439	Revenue	AGENCY FEES	AGENCY FEES	N/A	REVENUE	5	DETAIL
12020440	Revenue	MEDICAL CONSULTANCY FEES	MEDICAL CONSULTANCY FEES	N/A	REVENUE	5	DETAIL
12020441	Revenue	LABORATORY FEES	LABORATORY FEES	N/A	REVENUE	5	DETAIL
12020442	Revenue	N/A	ASSOCIATION FEES	ASSOCIATION FEES	REVENUE	5	DETAIL
12020443	Revenue	BIRTH & DEATH REGISTRATION FEES	BIRTH & DEATH REGISTRATION FEES	BIRTH & DEATH REGISTRATION FEES	REVENUE	5	DETAIL
12020444	Revenue	BURIAL FEES	BURIAL FEES	BURIAL FEES	REVENUE	5	DETAIL
12020445	Revenue	CHANGE OF OWNERSHIP FEES	CHANGE OF OWNERSHIP FEES	CHANGE OF OWNERSHIP FEES	REVENUE	5	DETAIL
12020446	Revenue	AGRICULTURAL/VETERINARY SERVICES FEES	AGRICULTURAL/VETINARY SERVICES FEES	AGRICULTURAL/VETINARY SERVICES FEES	REVENUE	5	DETAIL
12020447	Revenue	LAND USE FEES	LAND USE FEES	N/A	REVENUE	5	DETAIL
12020448	Revenue	DEVELOPMENT LEVIES	DEVELOPMENT LEVIES	DEVELOPMENT LEVIES	REVENUE	5	DETAIL
12020449	Revenue	BUSINESS/TRADE OPERATING FEES	BUSINESS/TRADE OPERATING FEES	BUSINESS/TRADE OPERATING FEES	REVENUE	5	DETAIL
12020450	Revenue	INSPECTION FEES	INSPECTION FEES	INSPECTION FEES	REVENUE	5	DETAIL
12020451	Revenue	TIMBER & FOREST FEES	TIMBER & FOREST FEES	TIMBER & FOREST FEES	REVENUE	5	DETAIL
12020452	Revenue	SCHOOL TUITION/REGISTRATION/EXAMINATION FEES-UNDERGRADUATE	SCHOOL TUITION/REGISTRATION/EXAMINATION FEES-UNDERGRADUATE	SCHOOL TUITION/REGISTRATION/EXAMINATION FEES-UNDERGRADUATE	REVENUE	5	DETAIL
12020453	Revenue	N/A	APPLICATIONS FEES	APPLICATIONS FEES	REVENUE	5	DETAIL
12020454	Revenue	N/A	PARKING FEES	PARKING FEES	REVENUE	5	DETAIL
12020455	Revenue	SCHOOL TUITION/REGISTRATION/EXAMINATION FEES-POSTGRADUATE	SCHOOL TUITION/REGISTRATION/EXAMINATION FEES-POSTGRADUATE	SCHOOL TUITION/REGISTRATION/EXAMINATION FEES-POSTGRADUATE			
12020456	Revenue	SCHOOL TUITION/REGISTRATION/EXAMINATION FEES - OTHERS	SCHOOL TUITION/REGISTRATION/EXAMINATION FEES - OTHERS	SCHOOL TUITION/REGISTRATION/EXAMINATION FEES - OTHERS			
12020457	Revenue	AFFILIATION CHARGES	AFFILIATION CHARGES	AFFILIATION CHARGES			
12020458	Revenue	UNITY/STAFF/OTHER SCHOOL FEES/LEVIES	UNITY/STAFF/OTHER SCHOOL FEES/LEVIES	UNITY/STAFF/OTHER SCHOOL FEES/LEVIES			
12020459	Revenue	RIGHT OF OCCUPANCY FEES	RIGHT OF OCCUPANCY FEES	RIGHT OF OCCUPANCY FEES			
12020460	Revenue	BUILDING PLAN APPROVAL FEES	BUILDING PLAN APPROVAL FEES	BUILDING PLAN APPROVAL FEES			
12020461	Revenue	TITLE TRANSFER FEES	TITLE TRANSFER FEES	TITLE TRANSFER FEES			
12020462	Revenue	PUBLICATION FEES	PUBLICATION FEES	PUBLICATION FEES			
12020463	Revenue	HOSPITAL SERVICE REGISTRATION FEES	HOSPITAL SERVICE REGISTRATION FEES	HOSPITAL SERVICE REGISTRATION FEES			
12020464	Revenue	HOSPITAL SERVICE CHARGES	HOSPITAL SERVICE CHARGES	HOSPITAL SERVICE CHARGES			
12020465	Revenue	SPORTS/RECREATIONAL FACILITIES FEES	SPORTS/RECREATIONAL FACILITIES FEES	SPORTS/RECREATIONAL FACILITIES FEES			
12020466	Revenue	INDIGENSHIP REGISTRATION FEES	INDIGENSHIP REGISTRATION FEES	INDIGENSHIP REGISTRATION FEES			
12020467	Revenue	3% LEVY ON FREIGHT INCOME	N/A	N/A			
12020468	Revenue	MARITIME SAFETY & ENVIROMENTAL FEES	N/A	N/A			
12020469	Revenue	INDEMNITY FEES	N/A	N/A			
12020470	Revenue	REGISTRATION OF SHIPPING COMPANY	N/A	N/A			
12020471	Revenue	REGISTRATION OF STEVEDORING	N/A	N/A			
12020472	Revenue	2% CABOTAGE SURCHAGE FEES	N/A	N/A			
12020473	Revenue	CABOTAGE WAIVERS PROCESSING FEES	N/A	N/A			
12020474	Revenue	0.5% STEVEDORING AND SHIPHANDLING FEES	N/A	N/A			
12020475	Revenue	ISPS FEES	N/A	N/A			
12020476	Revenue	PPP CONCESSION FEES	N/A	N/A			
12020477	Revenue	OFFSHORE WASTE RECEPTION CHARGES	N/A	N/A			
12020478	Revenue	WORKSHOP FEES	WORKSHOP FEES	WORKSHOP FEES			
12020479	Revenue	NATURALIZATION & CITIZENSHIP	N/A	N/A			
120205	Revenue	FINES - GENERAL	FINES - GENERAL	FINES - GENERAL	REVENUE	4	GENERAL
12020501	Revenue	SUNDRY FINES	FINES/PENALTIES	FINES/PENALTIES	REVENUE	5	DETAIL
12020502	Revenue	COURT FINES	COURT FINES	COURT FINES			
12020503	Revenue	DISLODGING OF EFFLUENT/POLLUTION FINE	DISLODGING OF EFFLUENT/POLLUTION FINE	DISLODGING OF EFFLUENT/POLLUTION FINE			
120206	Revenue	SALES - GENERAL	SALES - GENERAL	SALES - GENERAL	REVENUE	4	GENERAL
12020601	Revenue	SALES OF JOURNAL & PUBLICATIONS	SALES OF JOURNAL & PUBLICATIONS	SALES OF JOURNAL & PUBLICATIONS	REVENUE	5	DETAIL
12020602	Revenue	SALES OF  BOOKS	SALES OF  BOOKS	SALES OF  BOOKS	REVENUE	5	DETAIL
12020603	Revenue	SALES OF ID CARDS	SALES OF ID CARDS	SALES OF ID CARDS	REVENUE	5	DETAIL
12020604	Revenue	SALES OF STORES	SALES OF STORES/SCRAPS/UNSERVICABLE ITEMS	SALES OF STORES/SCRAPS/UNSERVICABLE ITEMS	REVENUE	5	DETAIL
12020605	Revenue	SALES OF VACCINES	SALES OF VACCINES	SALES OF VACCINES	REVENUE	5	DETAIL
12020606	Revenue	SALES OF BILLS OF ENTRIES FORMS	SALES OF BILLS OF ENTRIES/APPLICATION FORMS	N/A	REVENUE	5	DETAIL
12020607	Revenue	SALES OF CONSULTANCY REGISTRATION FORMS	SALES OF CONSULTANCY REGISTRATION FORMS	SALES OF CONSULTANCY REGISTRATION FORMS	REVENUE	5	DETAIL
12020608	Revenue	SALES OF IMPROVED SEEDS/CHEMICAL	SALES OF IMPROVED SEEDS/CHEMICAL	SALES OF IMPROVED SEEDS/CHEMICAL	REVENUE	5	DETAIL
12020609	Revenue	PROCEEDS FROM SALES OF FARM PRODUCE	PROCEEDS FROM SALES OF FARM PRODUCE	PROCEEDS FROM SALES OF FARM PRODUCE	REVENUE	5	DETAIL
12020610	Revenue	PROCEEDS FROM SALES OF GOODS BY PUBLIC AUCTIONS	PROCEEDS FROM SALES OF GOODS BY PUBLIC AUCTIONS	PROCEEDS FROM SALES OF GOODS BY PUBLIC AUCTIONS	REVENUE	5	DETAIL
12020611	Revenue	PROCEEDS FROM SALES OF GOVT. VEHICLES	PROCEEDS FROM SALES OF GOVT. VEHICLES	PROCEEDS FROM SALES OF GOVT. VEHICLES	REVENUE	5	DETAIL
12020612	Revenue	PROCEEDS FROM SALES OF DRUGS AND MEDICATIONS	PROCEEDS FROM SALES OF DRUGS AND MEDICATIONS	PROCEEDS FROM SALES OF DRUGS AND MEDICATIONS	REVENUE	5	DETAIL
12020613	Revenue	PROCEEDS FROM SALES OF SHIPS SCRAPS	PROCEEDS FROM SALES OF SHIPS SCRAPS	N/A	REVENUE	5	DETAIL
12020614	Revenue	PROCEEDS FROM SALES OF GOVT. BUILDING	PROCEEDS FROM SALES OF GOVT. BUILDING	PROCEEDS FROM SALES OF GOVT. BUILDING	REVENUE	5	DETAIL
12020615	Revenue	SALES OF UNIFORMS	SALES OF UNIFORMS	SALES OF UNIFORMS	REVENUE	5	DETAIL
12020616	Revenue	SALES OF FORMS	SALES OF FORMS	SALES OF FORMS			
12020617	Revenue	SALES OF PLAN PHOTOSTAT PRINT/MAP	SALES OF PLAN PHOSTAT PRINT/MAP	SALES OF PLAN PHOSTAT PRINT/MAP			
12020618	Revenue	SALES OF REAGENTS & CHEMICALS	SALES OF REAGENTS & CHEMICALS	SALES OF REAGENTS & CHEMICALS			
12020619	Revenue	SALES OF FLAGS/PORTRAITS	SALES OF FLAGS/POTRAITS	SALES OF FLAGS/POTRAITS			
12020620	Revenue	SALES OF OTHER GOVERNMENT PROPERTIES	SALES OF OTHER GOVERNMENT PROPERTIES	SALES OF OTHER GOVERNMENT PROPERTIES			
12020621	Revenue	SALES OF GOVERNMENT PANAPHARELIA (SEALS, ART WORKS ETC)	SALES OF GOVERNMENT PANAPHARELIA (FLAGS, PORTRAITS, ART WORKS ETC)	SALES OF GOVERNMENT PANAPHARELIA (FLAGS, PORTRAITS, ART WORKS ETC)			
120207	Revenue	EARNINGS -GENERAL	EARNINGS -GENERAL	EARNINGS -GENERAL	REVENUE	4	GENERAL
12020701	Revenue	EARNINGS FROM CONSULTANCY SERVICES	EARNINGS FROM CONSULTANCY SERVICES	EARNINGS FROM CONSULTANCY SERVICES	REVENUE	5	DETAIL
12020702	Revenue	EARNINGS FROM LABORATORY SERVICES	EARNINGS FROM LABORATORY SERVICES	EARNINGS FROM LABORATORY SERVICES	REVENUE	5	DETAIL
12020703	Revenue	EARNINGS FROM HIRE OF PLANTS & EQUIPMENT	EARNINGS FROM HIRE OF PLANTS & EQUIPMENT	EARNINGS FROM HIRE OF PLANTS & EQUIPMENT	REVENUE	5	DETAIL
12020704	Revenue	EARNINGS FROM THE USE OF GOVT. VEHICLES	EARNINGS FROM THE USE OF GOVT. VEHICLES	EARNINGS FROM THE USE OF GOVT. VEHICLES	REVENUE	5	DETAIL
12020705	Revenue	EARNINGS FROM THE USE OF GOVT. HALLS/OTHERS	EARNINGS FROM THE USE OF GOVT. HALLS/OTHERS	EARNINGS FROM THE USE OF GOVT. HALLS/OTHERS	REVENUE	5	DETAIL
12020706	Revenue	EARNINGS FROM TOLLS OF EXPRESSWAY	EARNINGS FROM TOLLS OF EXPRESSWAY	EARNINGS FROM TOLL GATES	REVENUE	5	DETAIL
12020707	Revenue	EARNINGS FROM MEDICAL SERVICES	EARNINGS FROM MEDICAL SERVICES	EARNINGS FROM MEDICAL SERVICES	REVENUE	5	DETAIL
12020708	Revenue	EARNINGS FROM AGRICULTURAL PRODUCE	EARNINGS FROM AGRICULTURAL PRODUCE	EARNINGS FROM AGRICULTURAL PRODUCE	REVENUE	5	DETAIL
